性別,年齢,職業,予約,施術,口コミ,店名
男性,20代前半,会社員,クーポン利用なし カット,カット,いつもご希望通りの髪型に仕上げてくれます！今回は特に大満足です！またよろしくお願いします！！,G店
男性,30代後半,会社員,【メンズ】カット+ハードスパイラルパーマ(プードルパーマ)\18000(原宿/眉毛) カット、パーマ,カット、パーマ,パーマに関しては彼にお願いすれば間違いないと思います！,G店
男性,10代後半,学生,【メンズ】カット+波巻きスパイラルパーマ\14000(原宿/波巻きパーマ/ウルフ) カット、パーマ,カット、パーマ,初めてでしたが、分かりやすく説明してくださってとてもありがたかったです。出来上がりもとても気に入りました！また行きたいです！,G店
男性,40代,会社員,【メンズ】カット+ツイストスパイラルパーマ\12000(原宿/ツイストパーマ) カット、パーマ,カット、パーマ,仕上がりにとても満足しています！また、担当の方がヘルプでパーマをしてくれた方に、終わった後にありがとうとお伝えしていたのがとても良かったです！,G店
男性,20代後半,会社員,【平日限定】カット+スパイラルパーマ○￥10000(原宿/メンズパーマ/フェード) カット、パーマ,カット、パーマ,口コミを見て初めて行きました！自分に合ったパーマをかけて下さり、満足の仕上がりです！,G店
男性,20代前半,その他,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,技術自体も最高なのですが、スタイリストさん達もとてもお優しく、毎回お会いしてお話しするのが一つの楽しみになってきました。,G店
男性,10代後半,学生,【平日限定】カット+スパイラルパーマ○￥10000(原宿/メンズパーマ/フェード) カット、パーマ,カット、パーマ,とても楽しい雰囲気で楽しい時間でした。仕上がりもとても素敵でよかったです。,G店
男性,10代後半,学生,《*美容学生・美容師限定クーポン*》全てのメニュー40%オフ カット、パーマ,カット、パーマ,カットとパーマお願いしました。今までで3回入店し、とても技術が素晴らしく、3回ともブレずにおんなじスタイルに仕上げてくれました！また施術中はいろいろなお話をしてくださり、おしゃべり好きな僕にはとても楽しかったです、また美容学生として、お話を伺った際には、ご丁寧に説明していただきました！パーマをしたいと言う方は是非こちらのお店に行ってみてください！,G店
男性,40代,会社員,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カットとパーマをしていただきました。毎回安定のクオリティありがとうございます。また行きます。,G店
男性,30代後半,その他,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,自分には若めのサロンの印象でしたが、担当の方が合わせて対応して下さったので居心地が良かったです。オーダーも上手く汲み取って下さり、仕上がりも周りからの反応がめちゃくちゃ良いです。アシスタントの女性もたくさん教えて下さり有り難かったです。またよろしくお願い致します。,G店
男性,20代前半,会社員,【保利限定クーポン】メンズカット+各種パーマ\18000[原宿/メンズパーマ] カット、パーマ,カット、パーマ,本当に毎回難しい髪型で来店してしまってるのに最高の仕上がりすぎてほんとに感謝しかないです！一緒に話しててほんとに勉強になるし楽しすぎます！ほんとにありがとうございます。,G店
男性,20代前半,学生,【メンズ】カット+眉毛カット￥6000(原宿/ツイストパーマ/フェード/ウルフ) カット、ヘアセット,カット、ヘアセット,三度目の来店です。今回も希望通りのカットにしてもらえてとても満足しています。スタイリングの仕方などもわかりやすく教えてくれて、おしゃべりも楽しかったです！また利用したいと思います♪,G店
男性,30代後半,その他,【平日限定】カット+スパイラルパーマ○￥10000(原宿/メンズパーマ/フェード) カット、パーマ,カット、パーマ,頭の形、バランスなどを即時に判断していただき、諸々的確にカットしていただきました。今度はパーマをかけに行きたいと思います。,G店
男性,20代前半,学生,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,人生初パーマで緊張しましたが、めちゃくちゃかっこよくしてもらいました！！,G店
男性,10代後半,学生,【メンズ】カット+波巻きスパイラルパーマ\14000(原宿/波巻きパーマ/ウルフ) カット、パーマ,カット、パーマ,初めてパーマをかけてみましたが、不安もなく希望通りの髪型にして頂けました。この度はありがとうございます！,G店
男性,20代前半,自営業,【メンズ】カット+炭酸ヘッドスパ\7300(原宿/メンズパーマ/メンズカット) カット、ヘッドスパ,カット、ヘッドスパ,大変満足な仕上がりです。ありがとうございました。,G店
男性,20代後半,会社員,【メンズ】カット+眉毛カット￥6000(原宿/ツイストパーマ/フェード/ウルフ) カット、ヘアセット,カット、ヘアセット,カットスキルもトークスキルも十分でした。ありがとうございました！,G店
男性,40代,会社員,【メンズ】カット+波巻きスパイラルパーマ\16000(波巻きパーマ/原宿/ウルフ) カット、パーマ,カット、パーマ,いつもお世話になってます。今回は前回よりも強目の波巻きスパイラルでオーダーさせて頂きました。特に今回は、パーマのかかり具合のバランスが良く、仕上がりにも大変満足してます。いつもなら、頭の左右でパーマのかかり具合が少し違う印象があったりしたのですが、今回は全体的にかかり具合が均一でリッジも立っていて最高の仕上がりでした。ありがとうございました。また、次回もお願いしたいと思います。,G店
男性,20代前半,学生,クーポン利用なし カット、パーマ,カット、パーマ,本来やってもらいたかったものとは強さも種類も全く違うパーマになってしまい、仕上がりで鏡を見た瞬間かなり残念でした。今すぐにでも直して頂きたいくらいです。,G店
男性,20代後半,会社員,【メンズ】カット+波巻きスパイラルパーマ\16000(波巻きパーマ/原宿/ウルフ) カット、パーマ,カット、パーマ,今回は波巻きパーマにしていただきました。相談しながら髪型を決めてくれるので、とても良いパーマになりました！スタイリングでカッコよくてしていただき嬉しかったです。スタイリスト、アシスタントの方もお話しながら進めてくれるので雰囲気も良く、楽しみ時間でした！ありがとうございました！またよろしくお願いします。,G店
男性,10代後半,学生,【メンズ】カット+眉毛カット￥6000(原宿/ツイストパーマ/フェード/ウルフ) カット、ヘアセット,カット、ヘアセット,どんな要望にも応えてくれ、毎回大変満足してます。セットもしやすくなりました！！,G店
男性,10代後半,学生,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,いつもカッコよく仕上げてくださりありがとうございます！いろいろ質問にも答えてもらって、プライベートな話もすごく楽しくて行けば行くほど良さが伝わります！担当スタイリストさんとアシスタント君のコンビ最高です！！またよろしくお願いします！,G店
男性,20代後半,その他,【平日限定】カット+無造作パーマ￥9000(原宿/メンズパーマ/メンズカット) カット、パーマ,カット、パーマ,髪のセットについて詳しく教えてくれて、感謝です,G店
男性,10代後半,学生,【保利限定クーポン】メンズカット+各種パーマ\18000[原宿/メンズパーマ] カット、パーマ,カット、パーマ,仕上がりはいつも最高です！接客もフレンドリーでいつも楽しく過ごさせてもらってます！ありがとうございました！,G店
男性,20代後半,その他,【メンズ】カット+ツイストスパイラルパーマ+3stepトリートメント￥14500 カット、パーマ、トリートメント,カット、パーマ、トリートメント,今回もありがとうございました！前回がお任せで似合う感じにパーマをしてもらい、今回もお任せでやっていただきました。めちゃくちゃ丁寧に考えてやっていただき今回も大満足です！！！アシスタントの方2人もヘルプにしていただきながら話してくれてとても楽しい時間でした！初めてリピートできていて仕上がり、居心地最高です！担当スタイリストさんにお任せすればカッコよくなること間違いないです！ありがとうございました！また宜しくお願い致します^_^,G店
男性,20代後半,,【保利限定クーポン】メンズカット￥7700[原宿/メンズパーマ/波巻きパーマ] カット,カット,いつも自分の要望を聞いてくれて、イメージ通りのヘアスタイルにしてくださりありがとうございます！！またよろしくお願いします！,G店
男性,10代後半,学生,【メンズ】カット+炭酸ヘッドスパ\7300(原宿/メンズパーマ/メンズカット) カット、ヘッドスパ,カット、ヘッドスパ,カットでまた扱いやすくなりました！ありがとうございました！,G店
男性,20代前半,会社員,【平日限定】カット+スパイラルパーマ○￥10000(原宿/メンズパーマ/フェード) カット、パーマ,カット、パーマ,ハゲに優しいけど、お高い、、、、、、,G店
男性,10代後半,学生,【平日限定】カット+スパイラルパーマ○￥10000(原宿/メンズパーマ/フェード) カット、パーマ,カット、パーマ,カウンセリングで似合う髪型をしっかり説明してくれました。仕上がりもめっちゃよくてセットの仕方も分かりやすくて最高です！,G店
男性,20代前半,学生,【メンズ】カット+眉毛カット￥6000(原宿/ツイストパーマ/フェード/ウルフ) カット、ヘアセット,カット、ヘアセット,とても仕上がりも良くお店の雰囲気や接客も全く気を使わずにいれるのめとても良かったです！,G店
男性,20代後半,会社員,【メンズ】カット+波巻きスパイラルパーマ\14000(原宿/波巻きパーマ/ウルフ) カット、パーマ,カット、パーマ,初めてで来店しスタイリストさんも面白い方でいい時間でした！これからも通わせていただきたいと思います！少し時間がかかってしまったところがあるのでそこがなければ言うことなしです！ただ満足はしてますのでこれからもよろしくお願いします！,G店
男性,30代前半,会社員,クーポン利用なし カット,カット,いつも素敵に仕上げていただき、ありがとうございます。またお伺いさせてもらいます。,G店
男性,10代後半,学生,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,店の雰囲気も良く、髪型の要望にもしっかり応えてくれました。,G店
男性,20代後半,会社員,クーポン利用なし カット、パーマ,カット、パーマ,いつも担当スタイリストさんにお願いしていますが毎回要望通りに髪型を作ってくれます！本当におすすめできるサロンです！,G店
男性,20代後半,学生,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,担当スタイリストさんが得意としてるスタイルと僕が毎回オーダーするヘアスタイルに違いがあるにもかかわらず、丁寧なカウンセリングをした上で毎回満足のいくパーマとカットをしてくれます。以前まで、美容室に行って満足したことがなかったのですが、ここに行くようになってから変わったので、私と同じ境遇の方がいらっしゃいましたらぜひfifthに足を運んでみてください。担当スタイリストさんいつもありがとうございます！,G店
男性,20代前半,学生,【平日限定】カット+スパイラルパーマ○￥10000(原宿/メンズパーマ/フェード) カット、パーマ,カット、パーマ,とても雰囲気がよかったです。初めてのパーマでしたがとても格好良くしていただきました！ありがとうございました。,G店
男性,20代前半,学生,【メンズ】カット+ツイストスパイラルパーマ\13500(原宿/フェード/ウルフ) カット、パーマ,カット、パーマ,とてもかっこよくしてもらいました。サロン全体がアットホームな雰囲気で施術中も楽しく、笑いが絶えません。このサロンに通い始めてから人生が右肩上がりです！またかっこよくしてもらいに行きます！！,G店
男性,20代前半,会社員,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,半年以上前から通わせていただいています。お店の雰囲気も良く、担当スタイリストさんにも本当にいつも楽しくカットしてもらっています。自分のイメージを聞いてくださっていつも満足しています。パーマをかけたい方にオススメしたいです。,G店
男性,30代前半,会社員,【メンズ】カット+眉毛カット￥6000(原宿/ツイストパーマ/フェード/ウルフ) カット、ヘアセット,カット、ヘアセット,満足です！またお願いします。,G店
男性,30代前半,会社員,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,今回初めてカットのみしました！いつも楽しい時間を提供して下さりありがとうございます！やっぱ、担当スタイリストさん指名は間違いない！！次までに髪の毛伸ばしてパーマよろしくです！,G店
男性,20代前半,,クーポン利用なし カット、パーマ,カット、パーマ,最高なサロンです,G店
男性,30代前半,会社員,【メンズ】カット+波巻きスパイラルパーマ\14000(原宿/波巻きパーマ/ウルフ) カット、パーマ,カット、パーマ,初めてでしたが、仕上がり良かったです！,G店
男性,20代前半,学生,【大好評◎】カット+スパイラルパーマ\11000(原宿/メンズパーマ/眉毛/ウルフ) カット、パーマ,カット、パーマ,海外風パーマをお願いしましたが、癖毛の自分に最適なパーマスタイルを提案して頂きました！アットホームな雰囲気で大変楽しく過ごすことができましたし、髪型も大変満足のいく髪型にしてもらいました！ありがとうございました！,G店
男性,20代前半,学生,【メンズ】カット+ブリーチカラー￥17500(原宿/メンズカット/ツイストパーマ) カット、カラー,カット、カラー,久しぶりのカットと人生初のハイライトで不安でしたが、扱いにくい髪も丁寧に扱っていただきカラーも綺麗に入れていただけて大満足でした！美容師の方も皆様個性がありとてもいい人たちで楽しかったです！ぜひまた利用したいと思います！,G店
男性,20代後半,会社員,クーポン利用なし カット,カット,いつも、細かい注文にも対応して、希望通り切ってくれてありがとうございます！またお願いします！,G店
男性,20代後半,会社員,クーポン利用なし カット,カット,以前パーマをかけてもらい、周りからも好評で自分自身でも非常に大満足だった為、今回もカットをお願いしました。元々、パーマがかかりにくい髪質でしたが、2ヶ月近くたった今でも絶好調です。自分自身、口下手で上手くイメージを伝えられないのですが、汲み取ってくれて、最高の仕上がりにしてもらえました。これからも、お願いしようと思います。ありがとうございます。,G店
女性,20代前半,会社員,クーポン利用なし カット,カット,いつも写真通りの髪型にしていただき、ありがとうございます！,G店
男性,20代後半,,【メンズにオススメ】カット+ポイントパーマ ￥8000(原宿/メンズパーマ/眉毛) カット、パーマ,"￥8000(原宿/メンズパーマ/眉毛)
[施術メニュー]",普段渋谷の他のサロンに行っているのですが、ここも気になっていたので足を運んでみました。お願いしたスタイリストさんはよくカウンセリングしてくださり、私の髪質だとどのような仕上がりになるか等親切に聞いてくださいました。そのスタイリストさんとのやり取りだけなら星5に近い評価だったと思います。気になったのは店内にいたアシスタント2名です。私は直接関わってはいませんが、鏡越しに見ているとお客のシャンプーをしながら何やら2人でこそこそと。客はもちろん顔を隠されていてそのやりとりは見えません。業務的な話ではないのはニヤニヤヘラヘラしている様子から察しました。その他の場面でも2人で目を合わせてニヤつく場面もありました。勝手な推測ですが担当した客を馬鹿にしているようなやり取りにも見えました。手持ち無沙汰な時間にはスプレー缶をトントンと振り回してながら歩いていますし、真相は知りませんが。あとキャスター付きのイスで客の間を座ったままチンタラと移動してるスタイリストもいて驚きました。担当してくださった方以外は残念。,G店
男性,20代前半,会社員,クーポン利用なし カット,カット,今回も楽しい時間でしたまた来月もよろしくお願いします！,G店
男性,20代前半,その他,クーポン利用なし カット,カット,プードルパーマを前回かけていただき、今回はスパイキーショートにしてもらいました！理想の髪型にしてもらえてすごく満足です。細かいセットの仕方や乾かし方を丁寧に教えていただき、毎朝セットするのが楽しいです笑笑お話もとても面白く、また髪が伸びたら担当スタイリストさんにお願いしたいと思います！ありがとうございました！,G店
男性,20代前半,会社員,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,4度目の施術をしていただきました。毎回自分の要望をしっかり聞いて、しっかりと再現してくれるのでいつも満足させていただいてます。施術中も話を沢山振ってくれて盛り上げてくれるので毎回行くのが楽しみです。これからも通うので是非よろしくお願いします。,G店
男性,20代前半,学生,【メンズ】カット+炭酸ヘッドスパ\7300(原宿/メンズパーマ/メンズカット) カット、ヘッドスパ,カット、ヘッドスパ,担当スタイリストさんのインスタでスパイキーショート時代の投稿があり、自分もこのような髪型にしたいという要望でカットしていただきました。似合うかどうか不安でしたがバチバチにイケてるカットをしてもらって満足です！暑い季節にピッタリのヘアースタイルだと思うのでまたお願いしたいです！ありがとうございました！,G店
男性,10代後半,学生,【メンズ】カット+波巻きスパイラルパーマ\14000(原宿/波巻きパーマ/ウルフ) カット、パーマ,カット、パーマ,とてもいい雰囲気になりました！またお願いします！,G店
男性,30代後半,会社員,【平日限定】カット+スパイラルパーマ○￥10000(原宿/メンズパーマ/フェード) カット、パーマ,カット、パーマ,接客も柔らかい物腰で大変居心地のよい時間を過ごせました。仕上がりは、つむじの位置まで計算に入れた仕上がりで頭の形や毛量など全て無にしてしまうほど、モデルと全く同じ仕上がりで驚かされました。妻も息子も大絶賛でした。また是非よろしくお願い致します。,G店
男性,20代前半,会社員,【メンズ】カット+眉毛カット￥6000(原宿/ツイストパーマ/フェード/ウルフ) カット、ヘアセット,カット、ヘアセット,いつもありがとうございます！,G店
男性,10代後半,学生,【メンズ】カット+ハードスパイラルパーマ\15000(原宿/プードルパーマ/眉毛) カット、パーマ,カット、パーマ,カット、プードルパーマともにイメージ通りになり大満足です！ありがとうございました！またよろしくお願いいたします！,G店
男性,20代前半,学生,サロンからのメッセージクーポン カット、パーマ、トリートメント,カット、パーマ、トリートメント,毎回カッコよく仕上げてくれます。今後も利用したいと思います。,G店
男性,10代後半,学生,【メンズ】カット+ハードスパイラルパーマ\15000(原宿/プードルパーマ/眉毛) カット、パーマ,カット、パーマ,想像してた以上の出来でとても満足しました！また接客等お店の雰囲気も良く誰が行っても後悔しないと思います！,G店
男性,20代前半,学生,【メンズ】カット+ツイストスパイラルパーマ\12000(原宿/ツイストパーマ) カット、パーマ,カット、パーマ,みなさんすごく面白くて仕上がりも最高でした！すごく満足です！また行きたいですありがとうございました！,G店
男性,20代後半,会社員,クーポン利用なし カット、パーマ,カット、パーマ,待ち時間も少なく、お願いした通りのヘアスタイルにしていただきました！店舗異動されてからは初めてでしたが、また通わせていただきます！,G店
男性,20代後半,会社員,【メンズ】カット+ブリーチカラー￥19000(原宿/ツイストパーマ/メンズパーマ) カット、カラー,カット、カラー,いつも通わせていただいてますが、自分の髪質が特質にもかかわらず要望に合わせたカットやカラーをしてくださりいつも満足させたいだいてますこれからもお世話になります！,G店
男性,30代前半,自営業,【メンズ】カット+ツイストスパイラルパーマ\13500(原宿/フェード/ウルフ) カット、パーマ,カット、パーマ,やはり担当スタイリストさんにかけて頂くパーマが1番やりやすいです。カットも丁寧に調整して頂き、セットしやすくなりました！パーマを手伝って頂いたスタッフさんもとても手際が良く、お話も楽しかったです！次回もよろしくお願い致します！,G店
男性,20代後半,会社員,クーポン利用なし カット,カット,いつも利用してますが、毎回希望通りの仕上がりで大変満足してます！始まりと終わりのシャンプーも気持ちよくて最高です！これからもよろしくお願いします。,G店
男性,10代後半,学生,【メンズ】カット+波巻きスパイラルパーマ\16000(波巻きパーマ/原宿/ウルフ) カット、パーマ,カット、パーマ,相変わらず最高でした！！また2ヶ月後くらいに行きます！よろしくお願いします！,G店
男性,20代前半,学生,【メンズ】カット+ハードスパイラルパーマ\15000(原宿/プードルパーマ/眉毛) カット、パーマ,カット、パーマ,tiktokやインスタを見てパーマをかけてもらいに行きました。なぜこんなに人気があるのか不思議でしょうがなかったです。また、技術があればいいやとおもったのですが、全くパーマかかってなくて、アシスタントの人が一生懸命ドライヤーでどうにかしようとしてるのは一目瞭然でした。返金してもらいたいレベルです。,G店
男性,30代前半,,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,仕上がりも良く、自分でセットする時もセットしやすくてよかったです！,G店
男性,20代後半,その他,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,足を運んで2回目でしたがアットホームな雰囲気で迎えてくださりとても居心地が良いと感じました。スタッフ皆様明るく、とても愉快な方々が多いのでとても楽しく過ごせました！またきます！,G店
男性,20代前半,会社員,【メンズ】カット+ツイストスパイラルパーマ\13500(原宿/フェード/ウルフ) カット、パーマ,カット、パーマ,前回に引き続き丁寧に仕上げて頂きました。初めてするヘアースタイルでしたが、自分に似合うように上手く調整して整えてもらいました。次回もお願いしたいと思います。,G店
男性,10代後半,学生,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,めっちゃイケてるロン毛パーマにしてもらいました。とてもいい雰囲気で、入店から退店までとても丁寧な対応をして頂きました。リクエストした髪型が、自分に合うよう色々提案をしてくださり希望以上のスタイルになりました。イケてるロン毛になりたい方、とてもオススメです。,G店
男性,10代後半,学生,【メンズ】カット+ハードスパイラルパーマ\15000(原宿/プードルパーマ/眉毛) カット、パーマ、トリートメント,カット、パーマ、トリートメント,自分が思ってた感じの髪型になったのでめちゃ良かったですお店の人も明るくて話しやすかったです,G店
男性,10代後半,学生,クーポン利用なし カット,カット,いつも通り、仕上がりも完璧で会話もめっちゃ楽しいです通い続けます,G店
男性,20代前半,自営業,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,1月3月に続き、今回もプードルパーマをかけてもらいました！今までに強めのパーマをかけたことがなかったので、初回は正直結構不安でしたが、ヒアリングもしっかりしてくれて、仕上がりもめちゃくちゃいい感じになりました！2回目以降も、髪の状態に合わせてパーマかけてくれて余裕で2ヶ月持ちました。東京でたくさん美容室がある中で、ここ見つけられてよかったです。これからもお願いする予定です！,G店
男性,20代前半,会社員,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,良かったです,G店
男性,20代前半,会社員,【保利限定クーポン】メンズカット￥7700[原宿/メンズパーマ/波巻きパーマ] カット,カット,カットもパーマも大満足です！また宜しくお願いします！,G店
男性,20代前半,パート・アルバイト,【保利限定クーポン】メンズカット+各種パーマ\18000[原宿/メンズパーマ] カット、パーマ,カット、パーマ,担当スタイリストさんにかけていただくパーマは最高にかっこいいです！いつもありがとうございます！,G店
男性,20代前半,学生,【メンズ】カット+無造作パーマ\10000(原宿/メンズカット/メンズパーマ/眉毛) カット、パーマ,カット、パーマ,仕上がりのイメージをしっかり話し合ってから行っていただいたので良い仕上がりになりました！雰囲気もよく、お話しも楽しくできました,G店
男性,10代後半,学生,【メンズ】カット+ハードスパイラルパーマ\15000(原宿/プードルパーマ/眉毛) カット、パーマ,カット、パーマ,アシスタントも含めみんな気さくに話しかけてくれて楽しかったです。仕上がりも満足です。ありがとうございました。,G店
男性,20代前半,,【メンズ】カット+眉毛カット￥6000(原宿/ツイストパーマ/フェード/ウルフ) カット、ヘアセット,カット、ヘアセット,めちゃくちゃよかったです。,G店
男性,10代後半,学生,【メンズ】カット+ハードスパイラルパーマ\15000(原宿/プードルパーマ/眉毛) カット、パーマ,カット、パーマ,完成度といい、施術中のリラックスさせることといい全てが完璧でした！覚えててくれて嬉しかったです！,G店
男性,20代前半,学生,【メンズ】カット+ツイストスパイラルパーマ\12000(原宿/ツイストパーマ) カット、パーマ,カット、パーマ,とても対応がよく、仕上がりにも大満足でした！,G店
男性,20代前半,学生,【メンズに人気】カット+炭酸ヘッドスパ￥6500(原宿/メンズパーマ/ウルフ) カット、トリートメント、ヘッドスパ,カット、トリートメント、ヘッドスパ,要望通りの髪型にカットしてもらい感謝しています！！カット中も話がとても面白くて楽しかったです！！,G店
男性,10代後半,学生,【メンズ】カット+波巻きスパイラルパーマ\16000(波巻きパーマ/原宿/ウルフ) カット、パーマ,カット、パーマ,雰囲気も良くて楽しみながらカットして貰えました！とてもいいパーマにして下さり感謝ですまた是非お願いしたいと思います。,G店
男性,20代前半,学生,クーポン利用なし カット、パーマ,カット、パーマ,いつもパーマをかけて頂いているのですがいつも大満足して帰れます！今度はカラーをして頂こうと思ってるのでとても楽しみです！,G店
男性,10代後半,学生,【メンズ】カット+ツイストスパイラルパーマ\12000(原宿/ツイストパーマ) カット、パーマ,カット、パーマ,先日はありがとうございました。はじめてのパーマで、とても緊張してましたが、色々と話しかけてくれて楽しい時間でした。また次の日学校行くととても好評でした！笑もう少しのばしてまた行きたいのでその時はまたお願いします！,G店
男性,20代前半,会社員,【メンズ】カット+ツイストスパイラルパーマ+3stepトリートメント\13000 原宿 カット、パーマ、トリートメント,"原宿
[施術メニュー]",割と普通のオーダーしても、できないとかおすすめしないばかりで、こちらの要望を聞く気がありません。もちろん、常にこちらに確認やヒアリングはしてきません。仕上がりもイマイチでした。,G店
男性,20代後半,会社員,【メンズにオススメ】カット+ポイントパーマ ￥8000(原宿/メンズパーマ/眉毛) カット、パーマ,"￥8000(原宿/メンズパーマ/眉毛)
[施術メニュー]",色々と貴重なお話をいただいて、大変ありがたかったです。技術云々のお話は正直素人なのでよくわからないですが、丁寧にしていただいたので、通いやすいと思いました。常連さんが多いイメージがあったのですが、新規の方も多いとのことで、美容院初心者の方にもおすすめできると思います。,G店
男性,20代後半,会社員,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,髪の長さから今回はカットのみで進めた方が良いとアドバイスを頂きよかったです。カット中も楽しく話して頂きありがとうございました！,G店
女性,50代,自営業,【クーポンに迷ったら】最もお得であなたにあったクーポンメニューをご提案♪ カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,カット、カラー、パーマ、縮毛矯正、トリートメント、ヘッドスパ、その他,,G店
男性,10代後半,学生,【保利限定クーポン】メンズカット+各種パーマ\18000[原宿/メンズパーマ] カット、パーマ,カット、パーマ,理想通りのバチバチパーマでした！次回も指名させていただきます！！！！,G店
男性,10代後半,会社員,【メンズ】カット+波巻きスパイラルパーマ\14000(原宿/波巻きパーマ/ウルフ) カット、パーマ,カット、パーマ,気さくに話しかけて頂きました！仕上がりも大満足で、また行きたいです！,G店
男性,20代前半,学生,【保利限定クーポン】メンズカット￥7700[原宿/メンズパーマ/波巻きパーマ] カット,カット,とても良かったです！また行きます！,G店
男性,20代前半,学生,【メンズ】カット+ツイストスパイラルパーマ\13500(原宿/フェード/ウルフ) カット、パーマ,カット、パーマ,2回目だったのですが、今回もかなり満足のいく仕上がりにして頂きました。ありがとうございました。,G店
男性,30代後半,,【メンズ】カット+波巻きスパイラルパーマ\14000(原宿/波巻きパーマ/ウルフ) カット、パーマ,カット、パーマ,ご丁寧に施術頂きありがとうございました,G店
男性,10代後半,学生,【保利限定クーポン】メンズカット+各種パーマ\18000[原宿/メンズパーマ] カット、パーマ,カット、パーマ,前回に引き続き理想の髪型にしていただきとても満足しています！パーマをかけている最中にお話するのもとても楽しいです！またよろしくお願いします！！,G店
男性,20代後半,,【メンズ】カット+波巻きスパイラルパーマ\14000(原宿/波巻きパーマ/ウルフ) カット、パーマ,カット、パーマ,接客、サービス、クオリティーどれも最高に満足でした！また必ず行きます！友人にも紹介します！ありがとうございました！！！,G店
男性,10代後半,,【メンズ】カット+波巻きスパイラルパーマ\16000(波巻きパーマ/原宿/ウルフ) カット、パーマ,カット、パーマ,仕上がりがとても良く、会話の内容も面白かった。次もまたお願いします。,G店
